sub,stim,trial,choice,fb
407,4,22,NaN,NaN
407,2,23,0,1
407,1,24,1,1
407,4,25,0,1
407,2,26,1,1
407,1,27,1,1
407,3,28,1,1
407,1,29,1,1
407,3,30,1,0
407,2,31,0,0
407,3,32,0,1
407,1,33,0,0
407,3,34,0,1
407,2,35,0,1
407,1,36,1,0
407,3,37,1,0
407,2,38,1,1
407,1,39,0,0
407,4,40,1,0
407,2,41,0,0
407,3,42,0,0
407,4,43,1,0
407,2,44,0,0
407,4,45,1,0
407,1,46,0,0
407,4,47,0,0
407,2,48,1,1
407,1,49,0,0
407,4,50,1,0
407,3,51,0,1
407,1,52,0,1
407,2,53,0,0
407,3,54,1,0
407,1,55,0,0
407,2,56,1,0
407,4,57,0,1
407,1,58,0,0
407,4,59,0,1
407,3,60,1,0
407,3,61,1,0
407,4,62,0,1
407,3,63,0,0
407,2,64,1,0
407,1,65,0,0
407,3,66,1,0
407,1,67,0,0
407,2,68,0,0
407,3,69,1,0
407,4,70,0,1
407,3,71,1,0
407,1,72,0,0
407,3,73,0,1
407,1,74,1,0
407,2,75,0,0
407,4,76,0,0
407,2,77,1,1
407,4,78,0,1
407,2,79,1,0
407,4,80,0,1
407,1,81,0,0
407,4,82,0,1
407,2,83,0,0
407,1,84,1,1
407,2,85,1,1
407,4,86,0,1
407,1,87,1,1
407,2,88,0,0
407,1,89,0,1
407,3,90,1,0
407,2,91,0,0
407,1,92,0,0
407,3,93,1,0
407,4,94,0,1
407,1,95,0,0
407,3,96,1,0
407,1,97,0,0
407,3,98,1,0
407,2,99,0,0
407,4,100,1,0
407,1,101,0,0
407,4,102,1,1
407,1,103,1,1
407,3,104,1,1
407,2,105,1,1
407,4,106,1,0
407,2,107,0,0
407,4,108,1,0
407,2,109,0,0
407,3,110,1,1
407,2,111,0,0
407,3,112,NaN,NaN
407,1,113,NaN,NaN
407,3,114,0,1
407,4,115,1,1
407,1,116,0,0
407,3,117,NaN,NaN
407,4,118,0,1
407,2,119,1,0
407,4,120,0,1
408,2,1,0,1
408,1,2,NaN,NaN
408,2,3,0,0
408,3,4,1,0
408,4,5,NaN,NaN
408,2,6,1,0
408,4,7,1,1
408,3,8,0,0
408,2,9,0,1
408,1,10,1,0
408,2,11,0,1
408,4,12,1,1
408,2,13,0,1
408,4,14,1,0
408,3,15,1,1
408,1,16,1,1
408,3,17,1,1
408,1,18,1,0
408,3,19,1,0
408,1,20,1,0
408,4,21,0,0
408,1,22,1,0
408,3,23,1,1
408,4,24,1,1
408,3,25,0,0
408,1,26,0,1
408,4,27,1,1
408,3,28,0,0
408,4,29,1,0
408,2,30,0,1
408,3,31,1,1
408,2,32,0,1
408,4,33,1,1
408,2,34,0,1
408,3,35,0,1
408,4,36,1,0
408,2,37,1,0
408,3,38,1,1
408,4,39,1,1
408,1,40,1,0
408,3,41,1,1
408,2,42,0,0
408,1,43,1,0
408,3,44,1,1
408,1,45,0,1
408,4,46,1,1
408,1,47,0,0
408,3,48,1,1
408,4,49,1,1
408,1,50,0,1
408,2,51,0,1
408,4,52,1,0
408,3,53,1,1
408,2,54,0,1
408,4,55,1,1
408,3,56,1,0
408,1,57,0,1
408,4,58,1,1
408,1,59,0,1
408,2,60,0,1
408,2,61,0,1
408,4,62,1,1
408,2,63,0,1
408,1,64,1,0
408,4,65,1,1
408,1,66,0,1
408,4,67,1,0
408,1,68,0,0
408,3,69,1,1
408,4,70,0,0
408,2,71,0,0
408,1,72,0,1
408,2,73,0,1
408,3,74,0,0
408,2,75,0,1
408,3,76,1,1
408,1,77,0,1
408,3,78,1,1
408,1,79,0,0
408,3,80,1,1
408,2,81,0,1
408,1,82,0,1
408,3,83,1,0
408,4,84,1,1
408,1,85,0,1
408,3,86,1,1
408,4,87,1,1
408,2,88,0,0
408,4,89,1,1
408,2,90,0,1
408,3,91,1,1
408,4,92,1,1
408,2,93,0,1
408,1,94,0,1
408,4,95,1,1
408,2,96,0,1
408,4,97,1,1
408,2,98,0,1
408,3,99,1,1
408,1,100,0,1
408,4,101,1,1
408,1,102,0,0
408,4,103,1,1
408,2,104,0,0
408,3,105,1,1
408,1,106,0,1
408,3,107,1,1
408,1,108,0,1
408,3,109,1,1
408,2,110,0,0
408,3,111,1,1
408,2,112,0,1
408,4,113,1,0
408,2,114,0,1
408,1,115,0,0
408,4,116,1,1
408,2,117,0,1
408,1,118,0,1
408,3,119,1,0
408,1,120,0,1
409,2,1,0,1
409,1,2,1,0
409,2,3,0,0
409,3,4,1,0
409,4,5,0,0
409,2,6,0,1
409,4,7,1,1
409,3,8,0,0
409,2,9,0,1
409,1,10,0,1
