Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
27	4	207	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	NaN	NaN	NaN	NaN	NaN	0	0
27	4	208	0	NaN	1	NaN	NaN	NaN	0.8	2	546.433179988526	2	0	NaN	20	NaN	NaN	NaN	NaN	NaN	NaN	0
27	4	209	0	NaN	1	NaN	NaN	NaN	0.4	1	1024.98362699407	2	0	NaN	21	NaN	NaN	NaN	NaN	NaN	0.8	1
27	4	210	0	NaN	2	NaN	NaN	NaN	0.2	2	859.695902996464	2	1	NaN	1	NaN	NaN	NaN	NaN	NaN	0.4	1
27	4	211	0	NaN	2	NaN	NaN	NaN	0.4	1	1207.01247800025	2	1	NaN	2	NaN	NaN	NaN	NaN	NaN	0.2	1
27	4	212	0	NaN	2	NaN	NaN	NaN	1	1	1285.59397999197	2	1	NaN	3	NaN	NaN	NaN	NaN	NaN	0.4	1
27	4	213	0	NaN	2	NaN	NaN	NaN	0.2	1	912.81793298549	2	1	NaN	4	NaN	NaN	NaN	NaN	NaN	1	1
27	4	214	0	NaN	2	NaN	NaN	NaN	0.2	1	894.537466985639	1	0	NaN	5	NaN	NaN	NaN	NaN	NaN	0.2	0
27	4	215	1	10	2	0	0	1	0	2	906.211538997013	2	1	1	6	0.2	2	17	0.8	0	0.2	0
27	4	216	0	NaN	2	NaN	NaN	NaN	1	1	1051.58590400242	1	0	NaN	7	NaN	NaN	NaN	NaN	NaN	0	0
27	4	217	1	13	2	0.8	1	1	0.8	1	942.724058986641	1	0	1	8	1	1	16	0.4	1	1	1
27	4	218	1	10	2	0.8	0	0	0.8	2	973.994478001259	2	1	1	9	0	2	20	NaN	1	0.8	0
27	4	219	0	NaN	2	NaN	NaN	NaN	0.2	2	1237.28466400644	1	0	NaN	10	NaN	NaN	NaN	NaN	NaN	0.8	0
27	4	220	1	11	2	0.4	0	1	NaN	NaN	NaN	NaN	NaN	0	11	0.8	2	21	0.8	1	0.2	0
27	4	221	0	NaN	2	NaN	NaN	NaN	0	2	1035.77361500356	1	0	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	0
27	4	222	1	10	2	1	0	0	1	2	916.078562004259	2	1	1	13	0.8	2	3	0.4	1	0	0
27	4	223	1	10	2	0.2	0	1	0.2	1	933.727166004246	2	1	1	14	1	2	4	1	0	1	1
27	4	224	1	10	2	0.2	1	0	0.2	2	1063.25086799916	1	0	1	15	0	1	5	0.2	0	0.2	0
27	4	225	1	15	2	0.2	0	1	0.2	1	858.241804991849	2	1	1	16	0.2	2	1	0.4	0	0.2	0
27	4	226	1	10	1	1	0	0	1	2	709.37627798412	1	1	1	1	0.2	1	7	0	1	0.2	0
27	4	227	0	NaN	1	NaN	NaN	NaN	1	1	1180.25797099108	1	1	NaN	2	NaN	NaN	NaN	NaN	NaN	1	1
